label,class_name,n_images,n_leaves,imgs_per_leaf
0,Apple___Apple_scab,630,108,5.8
1,Apple___Black_rot,621,71,8.7
2,Apple___Cedar_apple_rust,275,69,4.0
3,Apple___healthy,1645,257,6.4
4,Blueberry___healthy,1502,160,9.4
5,Cherry_(including_sour)___Powdery_mildew,1052,65,16.2
6,Cherry_(including_sour)___healthy,854,107,8.0
7,Grape___Black_rot,1180,295,4.0
8,Grape___Esca_(Black_Measles),1383,346,4.0
9,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076,269,4.0
10,Orange___Haunglongbing_(Citrus_greening),5507,991,5.6
11,Peach___Bacterial_spot,2297,332,6.9
12,Peach___healthy,360,57,6.3
13,"Pepper,_bell___Bacterial_spot",997,175,5.7
14,"Pepper,_bell___healthy",1478,167,8.9
15,Potato___Early_blight,1000,250,4.0
16,Potato___Late_blight,1000,250,4.0
17,Potato___healthy,152,38,4.0
18,Raspberry___healthy,371,37,10.0
19,Soybean___healthy,5090,509,10.0
20,Strawberry___Leaf_scorch,1109,408,2.7
21,Strawberry___healthy,456,115,4.0
22,Tomato___Bacterial_spot,2127,532,4.0
23,Tomato___Early_blight,1000,251,4.0
24,Tomato___Late_blight,1909,1211,1.6
25,Tomato___Leaf_Mold,952,238,4.0
26,Tomato___Septoria_leaf_spot,1771,1021,1.7
27,Tomato___Spider_mites Two-spotted_spider_mite,1676,419,4.0
28,Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357,3304,1.6
29,Tomato___healthy,1591,836,1.9
